id,qname,heading,text,type,diagram,website,updated
,PaymentMethod,Payment method,"A payment method is a standardized procedure for transferring the monetary amount for a purchase. Payment methods are characterized by the legal and technical structures used, and by the organization or group carrying out the transaction. This element is mostly used for specifying the types of payment accepted by a gr:BusinessEntity.

Examples: VISA, MasterCard, Diners, cash, or bank transfer in advance.",Class,http://purl.org/goodrelations/v1/diagrams/PaymentMethod.dot.svg,http://purl.org/goodrelations/v1/PaymentMethod,2026-07-23T22:28:42.091037
,QuantitativeValueFloat,Quantitative value float,"An instance of this class is an actual float value for a quantitative property of a product. This instance is usually characterized by a minimal value, a maximal value, and a unit of measurement.

Examples: The intervals ""between 10.0  and 25.4 kilogramms"" or ""10.2 and 15.5 milimeters"".

Compatibility with schema.org: This class is a subclass of http://schema.org/Quantity.",Class,http://purl.org/goodrelations/v1/diagrams/QuantitativeValueFloat.dot.svg,http://purl.org/goodrelations/v1/QuantitativeValueFloat,2026-07-23T22:28:42.091037
,PaymentChargeSpecification,Payment charge specification,"A payment charge specification is a conceptual entity that specifies the additional costs asked for settling the payment after accepting a given gr:Offering using a particular gr:PaymentMethod. A payment charge specification is characterized by (1) a monetary amount per order specified as a literal value of type float in combination with a Currency, (2) the payment method, and (3) a whether this charge includes local sales taxes, namely VAT.
A gr:Offering may be linked to multiple payment charge",Class,http://purl.org/goodrelations/v1/diagrams/PaymentChargeSpecification.dot.svg,http://purl.org/goodrelations/v1/PaymentChargeSpecification,2026-07-23T22:28:42.091037
,BusinessEntity,Business entity,"An instance of this class represents the legal agent making (or seeking) a particular offering. This can be a legal body or a person. A business entity has at least a primary mailing address and contact details. For this, typical address standards (vCard) and location data (geo, WGS84) can be attached. Note that the location of the business entity is not necessarily the location from which the product or service is being available (e.g. the branch or store). Use gr:Location for stores and branch",Class,http://purl.org/goodrelations/v1/diagrams/BusinessEntity.dot.svg,http://purl.org/goodrelations/v1/BusinessEntity,2026-07-23T22:28:42.091037
,ActualProductOrServiceInstance,Actual product or service instance (DEPRECATED),"DEPRECATED - This class is superseded by gr:Individual. Replace all occurrences of gr:ActualProductOrServiceInstance by gr:Individual, if possible.",Class,http://purl.org/goodrelations/v1/diagrams/ActualProductOrServiceInstance.dot.svg,http://purl.org/goodrelations/v1/ActualProductOrServiceInstance,2026-07-23T22:28:42.091037
,QualitativeValue,Qualitative value,"A qualitative value is a predefined value for a product characteristic. 
	
Examples: the color ""green"" or the power cord plug type ""US""; the garment sizes ""S"", ""M"", ""L"", and ""XL"".
	
Note: Value sets are supported by creating subclasses of this class. Ordinal relations between values (gr:greater, gr:lesser, ...) are provided directly by GoodRelations.

Compatibility with schema.org: This class is equivalent to http://schema.org/Enumeration.",Class,http://purl.org/goodrelations/v1/diagrams/QualitativeValue.dot.svg,http://purl.org/goodrelations/v1/QualitativeValue,2026-07-23T22:28:42.091037
,PriceSpecification,Price specification,The superclass of all price specifications.,Class,http://purl.org/goodrelations/v1/diagrams/PriceSpecification.dot.svg,http://purl.org/goodrelations/v1/PriceSpecification,2026-07-23T22:28:42.091037
,QuantitativeValueInteger,Quantitative value integer,"An instance of this class is an actual integer value for a quantitative property of a product. This instance is usually characterized by a minimal value, a maximal value, and a unit of measurement. 

Example: A seating capacity between 1 and 8 persons.

Note: Users must keep in mind that ranges in here mean that ALL possible values in this interval are covered. (Sometimes, the actual commitment may be less than that: ""We sell cars from 2 - 12 seats"" does often not really mean that they have cars",Class,http://purl.org/goodrelations/v1/diagrams/QuantitativeValueInteger.dot.svg,http://purl.org/goodrelations/v1/QuantitativeValueInteger,2026-07-23T22:28:42.091037
,PaymentMethodCreditCard,Payment method credit card,"The subclass of gr:PaymentMethod represents all variants and brands of credit or debit cards as a standardized procedure for transferring the monetary amount for a purchase. It is mostly used for specifying the types of payment accepted by a gr:Business Entity.

Examples: VISA, MasterCard, or American Express.",Class,http://purl.org/goodrelations/v1/diagrams/PaymentMethodCreditCard.dot.svg,http://purl.org/goodrelations/v1/PaymentMethodCreditCard,2026-07-23T22:28:42.091037
,WarrantyPromise,Warranty promise,"This is a conceptual entity that holds together all aspects of the n-ary relation gr:hasWarrantyPromise.

A Warranty promise is an entity representing the duration and scope of services that will be provided to a customer free of charge in case of a defect or malfunction of the gr:ProductOrService. A warranty promise is characterized by its temporal duration (usually starting with the date of purchase) and its gr:WarrantyScope. The warranty scope represents the types of services provided (e.g. l",Class,http://purl.org/goodrelations/v1/diagrams/WarrantyPromise.dot.svg,http://purl.org/goodrelations/v1/WarrantyPromise,2026-07-23T22:28:42.091037
,N-Ary-Relations,N-ary relations (DEPRECATED),"This is the superclass for all classes that are placeholders for n-ary relations, which OWL cannot represent.
DEPRECATED. Do not use this class in data or queries.",Class,http://purl.org/goodrelations/v1/diagrams/N-Ary-Relations.dot.svg,http://purl.org/goodrelations/v1/N-Ary-Relations,2026-07-23T22:28:42.091037
,Location,Location,"A location is a point or area of interest from which a particular product or service is available, e.g. a store, a bus stop, a gas station, or a ticket booth. The difference to gr:BusinessEntity is that the gr:BusinessEntity is the legal entity (e.g. a person or corporation) making the offer, while gr:Location is the store, office, or place. A chain restaurant will e.g. have one legal entity but multiple restaurant locations. Locations are characterized by an address or geographical position and",Class,http://purl.org/goodrelations/v1/diagrams/Location.dot.svg,http://purl.org/goodrelations/v1/Location,2026-07-23T22:28:42.091037
,BusinessEntityType,Business entity type,"A business entity type is a conceptual entity representing the legal form, the size, the main line of business, the position in the value chain, or any combination thereof, of a gr:BusinessEntity. From the ontological point of view, business entity types are mostly roles that a business entity has in the market. Business entity types are important for specifying eligible customers, since a gr:Offering is often valid only for business entities of a certain size, legal structure, or role in the va",Class,http://purl.org/goodrelations/v1/diagrams/BusinessEntityType.dot.svg,http://purl.org/goodrelations/v1/BusinessEntityType,2026-07-23T22:28:42.091037
,DeliveryModeParcelService,Delivery mode parcel service,"A private parcel service as the delivery mode available for a certain offering.

Examples: UPS, DHL",Class,http://purl.org/goodrelations/v1/diagrams/DeliveryModeParcelService.dot.svg,http://purl.org/goodrelations/v1/DeliveryModeParcelService,2026-07-23T22:28:42.091037
,ProductOrService,Product or service,"The superclass of all classes describing products or services types, either by nature or purpose. Examples for such subclasses are ""TV set"", ""vacuum cleaner"", etc. An instance of this class can be either an actual product or service (gr:Individual), a placeholder instance for unknown instances of a mass-produced commodity (gr:SomeItems), or a model / prototype specification (gr:ProductOrServiceModel). When in doubt, use gr:SomeItems.

Examples: 
a) MyCellphone123, i.e. my personal, tangible cell",Class,http://purl.org/goodrelations/v1/diagrams/ProductOrService.dot.svg,http://purl.org/goodrelations/v1/ProductOrService,2026-07-23T22:28:42.091037
,TypeAndQuantityNode,Type and quantity node,"This class collates all the information about a gr:ProductOrService included in a bundle. If a gr:Offering contains just one item, you can directly link from the gr:Offering to the gr:ProductOrService using gr:includes. If the offering contains multiple items, use an instance of this class for each component to indicate the quantity, unit of measurement, and type of product, and link from the gr:Offering via gr:includesObject.

Example: An offering may include of 100g of Butter and 1 kg of potat",Class,http://purl.org/goodrelations/v1/diagrams/TypeAndQuantityNode.dot.svg,http://purl.org/goodrelations/v1/TypeAndQuantityNode,2026-07-23T22:28:42.091037
,ProductOrServiceModel,Product or service model,"A product or service model is a intangible entity that specifies some characteristics of a group of similar, usually mass-produced products, in the sense of a prototype. In case of mass-produced products, there exists a relation gr:hasMakeAndModel between the actual product or service (gr:Individual or gr:SomeItems) and the prototype (gr:ProductOrServiceModel). GoodRelations treats product or service models as ""prototypes"" instead of a completely separate kind of entities, because this allows us",Class,http://purl.org/goodrelations/v1/diagrams/ProductOrServiceModel.dot.svg,http://purl.org/goodrelations/v1/ProductOrServiceModel,2026-07-23T22:28:42.091037
,OpeningHoursSpecification,Opening hours specification,This is a conceptual entity that holds together all information about the opening hours on a given day (gr:DayOfWeek).,Class,http://purl.org/goodrelations/v1/diagrams/OpeningHoursSpecification.dot.svg,http://purl.org/goodrelations/v1/OpeningHoursSpecification,2026-07-23T22:28:42.091037
